,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome_$,monthlyrate_$,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework,generation
0,53,No,,2015.7222222222224,research & development,6,3,,1,1,Male,3,5,research director,3,,16280.83,42330.17,7,No,13,3.0,3,Full Time,0,5,3.0,20,15.0,15,15,1972,195370.0,True,Gen X
1,54,No,,2063.3888888888887,,1,4,Life Sciences,2,3,Male,2,5,manager,3,,41267.777777777774,43331.17,0,Unknown,14,3.0,1,Unknown,1,5,3.0,33,11.0,11,9,1971,199990.0,True,Gen X
2,44,No,travel_rarely,1984.253968253968,research & development,4,2,Technical Degree,3,3,Male,3,5,manager,4,married,39685.07936507936,41669.33,1,No,11,3.0,4,Unknown,0,3,Unknown,22,11.0,11,15,1981,192320.0,True,Millennials
3,49,No,travel_rarely,1771.4047619047622,research & development,2,4,Medical,4,1,Female,3,4,research director,3,married,14307.5,37199.5,3,Unknown,19,3.0,2,Full Time,2,2,Unknown,20,5.0,5,6,1976,171690.0,False,Gen X
4,48,No,,1582.7713464696226,sales,3,3,Technical Degree,5,1,Female,4,4,sales executive,1,divorced,12783.92,33238.2,2,No,12,3.0,4,Full Time,1,5,3.0,19,2.0,2,8,1977,153407.04,False,Gen X
5,50,No,,1771.920634920635,research & development,22,3,Medical,6,4,Female,3,4,manager,4,,14311.67,37210.33,3,No,11,3.0,2,Full Time,1,3,3.0,22,4.0,4,7,1975,171740.04,True,Gen X
6,61,No,,1032.4872861766066,sales,25,3,Life Sciences,7,1,Female,3,3,sales executive,1,,8339.32,21682.23,7,Unknown,11,3.0,4,Part Time,0,3,2.0,21,7.0,7,9,1964,100071.84,True,Baby Boomers
7,44,No,travel_rarely,556.2566609977324,sales,1,1,,8,2,Male,3,2,sales executive,3,married,11125.133219954649,11681.39,1,No,25,4.0,3,Part Time,0,3,3.0,20,11.0,11,6,1981,53914.11,False,Millennials
8,43,No,,1712.1825396825398,,2,5,,9,2,Female,3,4,manager,1,married,13829.17,35955.83,7,No,16,3.0,2,Full Time,1,2,3.0,18,11.0,11,8,1982,165950.0,True,Millennials
9,43,No,travel_frequently,1973.9841269841268,research & development,9,3,,10,1,Male,3,5,research director,3,,15943.72,41453.67,2,No,17,3.0,2,Full Time,1,2,4.0,18,0.0,0,11,1982,191324.63999999998,False,Millennials
